state,district,Year,Month_Name,age_0_5,age_5_17,age_18_greater
Maharashtra,Dhule,2025,May,118,46,18
Maharashtra,Dhule,2025,June,793,484,211
Maharashtra,Dhule,2025,July,1410,1107,127
Maharashtra,Dhule,2025,September,2028,2152,26
Maharashtra,Dhule,2025,October,788,384,62
Maharashtra,Dhule,2025,November,1156,390,63
Maharashtra,Dhule,2025,December,951,279,12
Arunachal Pradesh,Dibang Valley,2025,September,2,2,0
Arunachal Pradesh,Dibang Valley,2025,October,3,1,0
Arunachal Pradesh,Dibang Valley,2025,November,1,0,0
Arunachal Pradesh,Dibang Valley,2025,December,1,0,0
Assam,Dibrugarh,2025,March,10,12,14
Assam,Dibrugarh,2025,April,179,149,186
Assam,Dibrugarh,2025,May,140,95,149
Assam,Dibrugarh,2025,June,413,127,134
Assam,Dibrugarh,2025,July,1455,488,541
Assam,Dibrugarh,2025,September,652,306,52
Assam,Dibrugarh,2025,October,362,174,144
Assam,Dibrugarh,2025,November,409,226,218
Assam,Dibrugarh,2025,December,275,98,54
Rajasthan,Didwana-Kuchaman,2025,December,2,0,0
Assam,Dima Hasao,2025,June,33,28,10
Assam,Dima Hasao,2025,July,83,51,14
Assam,Dima Hasao,2025,September,1,10,2
Assam,Dima Hasao,2025,October,0,7,2
Assam,Dima Hasao,2025,November,1,5,0
Assam,Dima Hasao,2025,December,1,2,0
Nagaland,Dimapur,2025,April,249,454,80
Nagaland,Dimapur,2025,May,155,207,22
Nagaland,Dimapur,2025,June,105,240,32
Nagaland,Dimapur,2025,July,246,456,82
Nagaland,Dimapur,2025,September,121,210,22
Nagaland,Dimapur,2025,October,115,125,8
Nagaland,Dimapur,2025,November,107,77,29
Nagaland,Dimapur,2025,December,20,33,1
West Bengal,Dinajpur Dakshin,2025,July,707,256,34
West Bengal,Dinajpur Uttar,2025,March,26,18,27
West Bengal,Dinajpur Uttar,2025,June,1295,1253,118
West Bengal,Dinajpur Uttar,2025,July,5157,3588,189
Tamil Nadu,Dindigul,2025,September,1809,526,2
Tamil Nadu,Dindigul,2025,October,805,251,0
Tamil Nadu,Dindigul,2025,November,1318,458,3
Tamil Nadu,Dindigul,2025,December,746,158,7
Madhya Pradesh,Dindori,2025,September,762,111,0
Madhya Pradesh,Dindori,2025,October,447,50,0
Madhya Pradesh,Dindori,2025,November,424,51,1
Madhya Pradesh,Dindori,2025,December,776,37,0
Dadra and Nagar Haveli and Daman and Diu,Diu,2025,September,6,1,3
Daman & Diu,Diu,2025,September,6,0,0
Daman and Diu,Diu,2025,September,11,0,0
Daman & Diu,Diu,2025,October,2,0,0
Daman and Diu,Diu,2025,October,14,0,0
Dadra and Nagar Haveli and Daman and Diu,Diu,2025,November,2,5,0
Daman & Diu,Diu,2025,November,1,0,0
Daman and Diu,Diu,2025,November,19,1,0
Dadra and Nagar Haveli and Daman and Diu,Diu,2025,December,4,0,1
Daman & Diu,Diu,2025,December,3,0,0
Daman and Diu,Diu,2025,December,16,1,0
Jammu And Kashmir,Doda,2025,July,261,260,17
Jammu and Kashmir,Doda,2025,September,270,145,0
Jammu and Kashmir,Doda,2025,October,1178,261,0
Jammu & Kashmir,Doda,2025,November,2,0,0
Jammu and Kashmir,Doda,2025,November,858,272,10
Jammu and Kashmir,Doda,2025,December,880,85,5
Gujarat,Dohad,2025,March,32,37,41
Gujarat,Dohad,2025,June,1162,1835,191
Gujarat,Dohad,2025,July,2702,4861,438
Gujarat,Dohad,2025,September,414,277,0
Gujarat,Dohad,2025,October,151,57,0
Gujarat,Dohad,2025,November,382,219,0
Gujarat,Dohad,2025,December,160,44,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,September,199,12,9
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,October,99,9,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,November,179,7,4
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,December,141,2,3
Jharkhand,Dumka,2025,April,34,32,23
Jharkhand,Dumka,2025,June,74,110,14
Jharkhand,Dumka,2025,July,61,117,10
Jharkhand,Dumka,2025,September,827,963,8
Jharkhand,Dumka,2025,October,496,533,13
Jharkhand,Dumka,2025,November,817,850,16
Jharkhand,Dumka,2025,December,434,391,2
Rajasthan,Dungarpur,2025,April,66,83,13
Rajasthan,Dungarpur,2025,September,1620,1149,3
Rajasthan,Dungarpur,2025,October,563,365,1
Rajasthan,Dungarpur,2025,November,917,635,35
Rajasthan,Dungarpur,2025,December,703,417,1
Chhattisgarh,Durg,2025,April,336,38,10
Chhattisgarh,Durg,2025,July,385,94,16
Chhattisgarh,Durg,2025,September,946,162,12
Chhattisgarh,Durg,2025,October,355,50,1
Chhattisgarh,Durg,2025,November,843,115,7
Chhattisgarh,Durg,2025,December,663,61,1
Sikkim,East,2025,September,90,83,1
Sikkim,East,2025,October,41,27,0
Sikkim,East,2025,November,69,37,1
Sikkim,East,2025,December,15,6,0
Bihar,East Champaran,2025,April,1528,2371,153
Bihar,East Champaran,2025,May,1445,2871,192
Bihar,East Champaran,2025,September,2554,4580,128
Bihar,East Champaran,2025,October,1268,2409,127
Bihar,East Champaran,2025,November,1788,3445,147
Bihar,East Champaran,2025,December,1564,2695,58
Delhi,East Delhi,2025,April,676,221,15
Delhi,East Delhi,2025,May,969,342,67
Delhi,East Delhi,2025,June,660,299,26
Delhi,East Delhi,2025,July,1319,504,55
Delhi,East Delhi,2025,September,1578,459,22
Delhi,East Delhi,2025,October,855,198,11
Delhi,East Delhi,2025,November,1168,301,21
Delhi,East Delhi,2025,December,830,134,6
Meghalaya,East Garo Hills,2025,April,491,1124,293
Meghalaya,East Garo Hills,2025,May,180,448,267
Meghalaya,East Garo Hills,2025,June,70,469,341
Meghalaya,East Garo Hills,2025,July,73,606,387
Meghalaya,East Garo Hills,2025,September,136,464,185
Meghalaya,East Garo Hills,2025,October,26,135,78
Meghalaya,East Garo Hills,2025,November,33,99,117
Meghalaya,East Garo Hills,2025,December,3,21,6
Andhra Pradesh,East Godavari,2025,September,2291,209,3
Andhra Pradesh,East Godavari,2025,October,1361,126,1
Andhra Pradesh,East Godavari,2025,November,2041,116,5
Andhra Pradesh,East Godavari,2025,December,1468,56,1
Meghalaya,East Jaintia Hills,2025,April,434,765,283
Meghalaya,East Jaintia Hills,2025,May,125,248,256
Meghalaya,East Jaintia Hills,2025,June,96,414,308
Meghalaya,East Jaintia Hills,2025,July,200,571,516
Meghalaya,East Jaintia Hills,2025,September,64,173,171
Meghalaya,East Jaintia Hills,2025,October,38,85,105
Meghalaya,East Jaintia Hills,2025,November,19,75,143
Meghalaya,East Jaintia Hills,2025,December,7,23,14
Arunachal Pradesh,East Kameng,2025,September,47,29,0
Arunachal Pradesh,East Kameng,2025,October,18,21,0
Arunachal Pradesh,East Kameng,2025,November,14,16,14
Arunachal Pradesh,East Kameng,2025,December,9,13,0
Meghalaya,East Khasi Hills,2025,March,44,92,164
Meghalaya,East Khasi Hills,2025,April,1437,4688,1673
Meghalaya,East Khasi Hills,2025,May,768,2259,1867
Meghalaya,East Khasi Hills,2025,June,287,1875,978
Meghalaya,East Khasi Hills,2025,July,756,3426,2404
Meghalaya,East Khasi Hills,2025,September,406,1031,885
Meghalaya,East Khasi Hills,2025,October,236,527,638
Meghalaya,East Khasi Hills,2025,November,225,517,1106
Meghalaya,East Khasi Hills,2025,December,99,191,233
West Bengal,East Midnapore,2025,September,640,134,1
West Bengal,East Midnapore,2025,October,457,72,1
West Bengal,East Midnapore,2025,November,503,85,1
West Bengal,East Midnapore,2025,December,196,27,1
West Bengal,East Midnapur,2025,September,1,0,0
Madhya Pradesh,East Nimar,2025,July,189,254,15
Madhya Pradesh,East Nimar,2025,September,686,574,1
Madhya Pradesh,East Nimar,2025,October,392,268,0
Madhya Pradesh,East Nimar,2025,November,563,237,1
Madhya Pradesh,East Nimar,2025,December,508,167,4
Arunachal Pradesh,East Siang,2025,September,29,27,0
Arunachal Pradesh,East Siang,2025,October,21,21,0
Arunachal Pradesh,East Siang,2025,November,23,29,2
Arunachal Pradesh,East Siang,2025,December,7,9,0
Sikkim,East Sikkim,2025,September,67,77,7
Sikkim,East Sikkim,2025,October,40,26,5
Sikkim,East Sikkim,2025,November,50,26,1
Sikkim,East Sikkim,2025,December,27,7,6
Jharkhand,East Singhbhum,2025,April,55,54,11
Jharkhand,East Singhbhum,2025,July,180,100,13
Jharkhand,East Singhbhum,2025,September,1572,808,10
Jharkhand,East Singhbhum,2025,October,985,322,11
Jharkhand,East Singhbhum,2025,November,1598,540,36
Jharkhand,East Singhbhum,2025,December,1593,285,18
Jharkhand,East Singhbum,2025,July,848,546,53
Meghalaya,Eastern West Khasi Hills,2025,September,1,102,2
Meghalaya,Eastern West Khasi Hills,2025,October,1,63,2
Meghalaya,Eastern West Khasi Hills,2025,November,1,45,0
Meghalaya,Eastern West Khasi Hills,2025,December,0,16,585
Andhra Pradesh,Eluru,2025,September,165,16,1
Andhra Pradesh,Eluru,2025,October,100,10,1
Andhra Pradesh,Eluru,2025,November,180,13,10
Andhra Pradesh,Eluru,2025,December,123,6,4
Kerala,Ernakulam,2025,June,70,58,11
Kerala,Ernakulam,2025,July,87,111,26
Kerala,Ernakulam,2025,September,1092,559,17
Kerala,Ernakulam,2025,October,1013,369,38
Kerala,Ernakulam,2025,November,1244,467,153
Kerala,Ernakulam,2025,December,679,243,87
Tamil Nadu,Erode,2025,September,1879,320,0
Tamil Nadu,Erode,2025,October,966,243,0
Tamil Nadu,Erode,2025,November,1350,346,5
Tamil Nadu,Erode,2025,December,769,136,3
Uttar Pradesh,Etah,2025,April,724,354,13
Uttar Pradesh,Etah,2025,May,1092,457,48
Uttar Pradesh,Etah,2025,July,2059,1625,48
Uttar Pradesh,Etah,2025,September,956,686,10
Uttar Pradesh,Etah,2025,October,479,332,4
Uttar Pradesh,Etah,2025,November,835,582,24
Uttar Pradesh,Etah,2025,December,615,309,12
Uttar Pradesh,Etawah,2025,April,348,226,16
Uttar Pradesh,Etawah,2025,July,551,456,16
Uttar Pradesh,Etawah,2025,September,1155,994,14
Uttar Pradesh,Etawah,2025,October,581,378,41
Uttar Pradesh,Etawah,2025,November,906,512,26
Uttar Pradesh,Etawah,2025,December,632,299,3
Uttar Pradesh,Faizabad,2025,September,1576,1293,1
Uttar Pradesh,Faizabad,2025,October,841,572,0
Uttar Pradesh,Faizabad,2025,November,956,636,0
Uttar Pradesh,Faizabad,2025,December,679,370,2
Haryana,Faridabad,2025,March,80,60,10
Haryana,Faridabad,2025,April,1291,290,25
Haryana,Faridabad,2025,May,1358,311,32
Haryana,Faridabad,2025,June,1698,483,83
Haryana,Faridabad,2025,July,2678,733,54
Haryana,Faridabad,2025,September,1712,486,34
Haryana,Faridabad,2025,October,1018,216,7
Haryana,Faridabad,2025,November,1839,471,70
Haryana,Faridabad,2025,December,933,175,8
Punjab,Faridkot,2025,September,339,41,1
Punjab,Faridkot,2025,October,108,22,3
Punjab,Faridkot,2025,November,205,24,3
Punjab,Faridkot,2025,December,141,12,3
Uttar Pradesh,Farrukhabad,2025,June,73,102,11
Uttar Pradesh,Farrukhabad,2025,September,843,1069,17
Uttar Pradesh,Farrukhabad,2025,October,444,551,22
Uttar Pradesh,Farrukhabad,2025,November,792,730,30
Uttar Pradesh,Farrukhabad,2025,December,692,492,2
Haryana,Fatehabad,2025,September,572,35,5
Haryana,Fatehabad,2025,October,648,20,2
Haryana,Fatehabad,2025,November,768,24,2
Haryana,Fatehabad,2025,December,522,13,1
Punjab,Fatehgarh Sahib,2025,September,361,38,3
Punjab,Fatehgarh Sahib,2025,October,163,37,5
Punjab,Fatehgarh Sahib,2025,November,234,43,4
Punjab,Fatehgarh Sahib,2025,December,133,26,1
Uttar Pradesh,Fatehpur,2025,April,166,136,10
Uttar Pradesh,Fatehpur,2025,May,274,224,11
Uttar Pradesh,Fatehpur,2025,June,251,344,14
Uttar Pradesh,Fatehpur,2025,July,1271,1283,86
Uttar Pradesh,Fatehpur,2025,September,1641,1516,13
Uttar Pradesh,Fatehpur,2025,October,855,709,44
Uttar Pradesh,Fatehpur,2025,November,1185,856,41
Uttar Pradesh,Fatehpur,2025,December,883,514,6
Punjab,Fazilka,2025,September,756,123,3
Punjab,Fazilka,2025,October,281,48,1
Punjab,Fazilka,2025,November,344,51,1
Punjab,Fazilka,2025,December,249,49,5
Punjab,Ferozepur,2025,September,555,46,1
Punjab,Ferozepur,2025,October,227,30,0
Punjab,Ferozepur,2025,November,327,19,3
Punjab,Ferozepur,2025,December,153,19,1
Uttar Pradesh,Firozabad,2025,March,93,77,21
Uttar Pradesh,Firozabad,2025,June,1568,809,21
Uttar Pradesh,Firozabad,2025,July,1940,1040,10
Uttar Pradesh,Firozabad,2025,September,1380,1269,21
Uttar Pradesh,Firozabad,2025,October,645,532,11
Uttar Pradesh,Firozabad,2025,November,887,670,35
Uttar Pradesh,Firozabad,2025,December,737,529,5
Punjab,Firozpur,2025,September,185,25,0
Punjab,Firozpur,2025,October,47,7,0
Punjab,Firozpur,2025,November,68,13,0
Punjab,Firozpur,2025,December,47,3,0
Karnataka,Gadag,2025,September,1786,141,19
Karnataka,Gadag,2025,October,591,53,1
Karnataka,Gadag,2025,November,1059,104,0
Karnataka,Gadag,2025,December,652,51,0
Karnataka,Gadag *,2025,September,59,8,0
Karnataka,Gadag *,2025,October,16,0,0
Karnataka,Gadag *,2025,November,39,1,0
Karnataka,Gadag *,2025,December,21,1,0
Maharashtra,Gadchiroli,2025,September,815,148,7
Maharashtra,Gadchiroli,2025,October,267,30,1
Maharashtra,Gadchiroli,2025,November,408,42,12
Maharashtra,Gadchiroli,2025,December,594,48,2
Odisha,Gajapati,2025,September,803,165,2
Orissa,Gajapati,2025,September,3,0,0
Odisha,Gajapati,2025,October,281,49,2
Odisha,Gajapati,2025,November,361,53,9
Orissa,Gajapati,2025,November,4,0,0
Odisha,Gajapati,2025,December,213,51,5
Orissa,Gajapati,2025,December,1,0,0
Jammu and Kashmir,Ganderbal,2025,September,246,27,0
Jammu and Kashmir,Ganderbal,2025,October,140,10,1
Jammu and Kashmir,Ganderbal,2025,November,216,17,8
Jammu and Kashmir,Ganderbal,2025,December,171,5,2
Gujarat,Gandhinagar,2025,April,495,138,156
Gujarat,Gandhinagar,2025,May,251,28,16
Gujarat,Gandhinagar,2025,June,204,67,41
Gujarat,Gandhinagar,2025,July,322,96,129
Gujarat,Gandhinagar,2025,September,941,184,46
Gujarat,Gandhinagar,2025,October,311,77,38
Gujarat,Gandhinagar,2025,November,903,160,189
Gujarat,Gandhinagar,2025,December,648,87,123
Rajasthan,Ganganagar,2025,September,1464,551,9
Rajasthan,Ganganagar,2025,October,578,178,2
Rajasthan,Ganganagar,2025,November,852,266,26
Rajasthan,Ganganagar,2025,December,1292,281,5
Odisha,Ganjam,2025,September,2415,403,2
Orissa,Ganjam,2025,September,109,22,0
Odisha,Ganjam,2025,October,1324,188,0
Orissa,Ganjam,2025,October,86,5,0
Odisha,Ganjam,2025,November,1577,230,5
Orissa,Ganjam,2025,November,89,16,0
Odisha,Ganjam,2025,December,1393,175,2
Orissa,Ganjam,2025,December,70,5,0
Jharkhand,Garhwa,2025,September,1431,565,0
Jharkhand,Garhwa,2025,October,771,263,7
Jharkhand,Garhwa,2025,November,1453,471,7
Jharkhand,Garhwa,2025,December,868,236,1
Jharkhand,Garhwa *,2025,September,87,28,0
Jharkhand,Garhwa *,2025,October,71,10,0
Jharkhand,Garhwa *,2025,November,99,17,0
Jharkhand,Garhwa *,2025,December,57,12,0
Uttarakhand,Garhwal,2025,September,18,1,0
Uttarakhand,Garhwal,2025,October,21,3,0
Uttarakhand,Garhwal,2025,November,9,0,0
Uttarakhand,Garhwal,2025,December,4,0,0
Chhattisgarh,Gariyaband,2025,September,446,75,2
Chhattisgarh,Gariyaband,2025,October,244,38,2
Chhattisgarh,Gariyaband,2025,November,371,77,2
Chhattisgarh,Gariyaband,2025,December,246,39,0
Chhattisgarh,Gaurela-pendra-marwahi,2025,September,41,8,0
Chhattisgarh,Gaurela-pendra-marwahi,2025,October,28,8,2
Chhattisgarh,Gaurela-pendra-marwahi,2025,November,28,3,2
Chhattisgarh,Gaurela-pendra-marwahi,2025,December,18,1,1
Chhattisgarh,Gaurella Pendra Marwahi,2025,June,403,185,43
Chhattisgarh,Gaurella Pendra Marwahi,2025,July,220,105,27
Uttar Pradesh,Gautam Buddha Nagar,2025,March,175,636,72
Uttar Pradesh,Gautam Buddha Nagar,2025,April,1192,1186,113
Uttar Pradesh,Gautam Buddha Nagar,2025,May,867,915,52
Uttar Pradesh,Gautam Buddha Nagar,2025,June,805,1017,87
Uttar Pradesh,Gautam Buddha Nagar,2025,July,1392,1633,150
Uttar Pradesh,Gautam Buddha Nagar,2025,September,1489,1627,54
Uttar Pradesh,Gautam Buddha Nagar,2025,October,988,725,27
Uttar Pradesh,Gautam Buddha Nagar,2025,November,1320,1022,45
Uttar Pradesh,Gautam Buddha Nagar,2025,December,774,557,37
Bihar,Gaya,2025,April,437,1371,54
Bihar,Gaya,2025,May,452,1796,69
Bihar,Gaya,2025,June,515,1341,37
Bihar,Gaya,2025,July,546,2601,65
Bihar,Gaya,2025,September,1467,4143,42
Bihar,Gaya,2025,October,996,3134,104
Bihar,Gaya,2025,November,1039,2688,25
Bihar,Gaya,2025,December,1270,3170,39
Uttar Pradesh,Ghaziabad,2025,March,129,471,89
Uttar Pradesh,Ghaziabad,2025,May,882,747,37
Uttar Pradesh,Ghaziabad,2025,June,1145,1293,42
Uttar Pradesh,Ghaziabad,2025,July,1776,1881,59
Uttar Pradesh,Ghaziabad,2025,September,2979,2524,71
Uttar Pradesh,Ghaziabad,2025,October,1473,1156,30
Uttar Pradesh,Ghaziabad,2025,November,2356,1753,51
Uttar Pradesh,Ghaziabad,2025,December,1244,868,14
Uttar Pradesh,Ghazipur,2025,September,1772,3069,26
Uttar Pradesh,Ghazipur,2025,October,769,1305,17
Uttar Pradesh,Ghazipur,2025,November,1018,1636,18
Uttar Pradesh,Ghazipur,2025,December,764,884,10
Gujarat,Gir Somnath,2025,April,1262,265,179
Gujarat,Gir Somnath,2025,May,181,53,26
Gujarat,Gir Somnath,2025,July,1000,287,57
Gujarat,Gir Somnath,2025,September,675,184,22
Gujarat,Gir Somnath,2025,October,252,49,53
Gujarat,Gir Somnath,2025,November,582,104,19
Gujarat,Gir Somnath,2025,December,423,33,17
Jharkhand,Giridih,2025,July,871,921,27
Jharkhand,Giridih,2025,September,2033,1714,21
Jharkhand,Giridih,2025,October,1258,1108,11
Jharkhand,Giridih,2025,November,2101,1839,19
Jharkhand,Giridih,2025,December,1432,944,4
Assam,Goalpara,2025,April,587,294,283
Assam,Goalpara,2025,May,412,253,116
Assam,Goalpara,2025,June,17,43,20
Assam,Goalpara,2025,July,2119,590,189
Assam,Goalpara,2025,September,1671,448,29
Assam,Goalpara,2025,October,750,224,22
Assam,Goalpara,2025,November,794,244,48
Assam,Goalpara,2025,December,531,124,90
Jharkhand,Godda,2025,April,79,46,11
Jharkhand,Godda,2025,September,995,765,1
Jharkhand,Godda,2025,October,507,373,3
Jharkhand,Godda,2025,November,1067,652,1
Jharkhand,Godda,2025,December,590,299,1
Assam,Golaghat,2025,April,568,501,144
Assam,Golaghat,2025,May,807,826,230
Assam,Golaghat,2025,June,561,502,202
Assam,Golaghat,2025,July,1617,1002,850
Assam,Golaghat,2025,September,907,457,64
Assam,Golaghat,2025,October,297,223,216
Assam,Golaghat,2025,November,434,347,212
Assam,Golaghat,2025,December,346,189,3
Tripura,Gomati,2025,July,69,45,10
Tripura,Gomati,2025,September,122,52,0
Tripura,Gomati,2025,October,55,27,1
Tripura,Gomati,2025,November,95,55,0
Tripura,Gomati,2025,December,123,25,0
Uttar Pradesh,Gonda,2025,April,392,260,50
Uttar Pradesh,Gonda,2025,July,1120,1506,96
Uttar Pradesh,Gonda,2025,September,2144,2479,66
Uttar Pradesh,Gonda,2025,October,1111,1213,23
Uttar Pradesh,Gonda,2025,November,1629,1273,24
Uttar Pradesh,Gonda,2025,December,1049,763,69
Maharashtra,Gondia,2025,September,10,1,0
Maharashtra,Gondia,2025,October,5,1,0
Maharashtra,Gondia,2025,November,5,2,0
Maharashtra,Gondia,2025,December,5,0,0
Maharashtra,Gondiya,2025,September,1022,58,2
Maharashtra,Gondiya,2025,October,483,9,0
Maharashtra,Gondiya,2025,November,704,22,1
Maharashtra,Gondiya,2025,December,571,15,3
Maharashtra,Gondiya *,2025,September,18,1,0
Maharashtra,Gondiya *,2025,October,13,1,0
Maharashtra,Gondiya *,2025,November,13,1,0
Maharashtra,Gondiya *,2025,December,9,1,0
Bihar,Gopalganj,2025,May,385,495,27
Bihar,Gopalganj,2025,June,577,1145,51
Bihar,Gopalganj,2025,July,882,1961,48
Bihar,Gopalganj,2025,September,1132,1917,7
Bihar,Gopalganj,2025,October,764,1426,31
Bihar,Gopalganj,2025,November,794,1420,24
Bihar,Gopalganj,2025,December,769,1285,8
Uttar Pradesh,Gorakhpur,2025,March,13,36,11
Uttar Pradesh,Gorakhpur,2025,April,378,727,86
Uttar Pradesh,Gorakhpur,2025,May,129,352,41
Uttar Pradesh,Gorakhpur,2025,June,213,572,41
Uttar Pradesh,Gorakhpur,2025,July,1187,2262,130
Uttar Pradesh,Gorakhpur,2025,September,1898,3260,27
Uttar Pradesh,Gorakhpur,2025,October,1117,1669,52
Uttar Pradesh,Gorakhpur,2025,November,1534,2063,29
Uttar Pradesh,Gorakhpur,2025,December,985,1149,8
Karnataka,Gulbarga,2025,September,1151,235,0
Karnataka,Gulbarga,2025,October,741,145,0
Karnataka,Gulbarga,2025,November,960,208,1
Karnataka,Gulbarga,2025,December,798,115,2
Jharkhand,Gumla,2025,June,228,131,10
Jharkhand,Gumla,2025,July,383,286,23
Jharkhand,Gumla,2025,September,1281,927,2
Jharkhand,Gumla,2025,October,628,398,26
Jharkhand,Gumla,2025,November,881,518,15
Jharkhand,Gumla,2025,December,682,264,18
Madhya Pradesh,Guna,2025,April,633,120,31
Madhya Pradesh,Guna,2025,July,637,423,12
Madhya Pradesh,Guna,2025,September,2653,878,4
Madhya Pradesh,Guna,2025,October,784,223,0
Madhya Pradesh,Guna,2025,November,1410,313,0
Madhya Pradesh,Guna,2025,December,1379,292,19
Andhra Pradesh,Guntur,2025,September,2402,337,9
Andhra Pradesh,Guntur,2025,October,1514,219,1
Andhra Pradesh,Guntur,2025,November,2698,257,14
Andhra Pradesh,Guntur,2025,December,2155,112,11
Punjab,Gurdaspur,2025,April,233,36,49
Punjab,Gurdaspur,2025,May,114,20,13
Punjab,Gurdaspur,2025,July,549,99,10
Punjab,Gurdaspur,2025,September,1298,152,3
Punjab,Gurdaspur,2025,October,726,79,12
Punjab,Gurdaspur,2025,November,984,113,33
Punjab,Gurdaspur,2025,December,532,59,6
Haryana,Gurgaon,2025,April,494,192,36
Haryana,Gurgaon,2025,May,512,143,13
Haryana,Gurgaon,2025,September,1395,311,53
Haryana,Gurgaon,2025,October,866,169,8
Haryana,Gurgaon,2025,November,1387,297,43
Haryana,Gurgaon,2025,December,763,135,44
Haryana,Gurugram,2025,March,18,19,13
Haryana,Gurugram,2025,June,534,207,81
Haryana,Gurugram,2025,July,1252,399,113
Madhya Pradesh,Gwalior,2025,March,179,86,62
Madhya Pradesh,Gwalior,2025,April,855,370,113
Madhya Pradesh,Gwalior,2025,May,338,108,18
Madhya Pradesh,Gwalior,2025,June,1064,789,77
Madhya Pradesh,Gwalior,2025,July,2413,1821,175
Madhya Pradesh,Gwalior,2025,September,2608,1077,30
Madhya Pradesh,Gwalior,2025,October,961,330,38
Madhya Pradesh,Gwalior,2025,November,2245,599,260
Madhya Pradesh,Gwalior,2025,December,1447,422,57
WEST BENGAL,HOOGHLY,2025,September,0,1,0
West Bengal,HOOGHLY,2025,October,1,0,0
WEST BENGAL,HOOGHLY,2025,November,3,0,0
WESTBENGAL,HOOGHLY,2025,November,1,0,0
West Bengal,HOOGHLY,2025,November,1,0,0
West Bengal,HOWRAH,2025,September,1,1,0
West Bengal,HOWRAH,2025,November,1,0,0
Assam,Hailakandi,2025,April,242,143,78
Assam,Hailakandi,2025,July,683,287,46
Assam,Hailakandi,2025,September,1295,468,1
Assam,Hailakandi,2025,October,562,176,116
Assam,Hailakandi,2025,November,665,219,45
Assam,Hailakandi,2025,December,379,148,25
Himachal Pradesh,Hamirpur,2025,September,271,4,0
Uttar Pradesh,Hamirpur,2025,September,777,584,10
Himachal Pradesh,Hamirpur,2025,October,292,5,0
Uttar Pradesh,Hamirpur,2025,October,306,260,8
Himachal Pradesh,Hamirpur,2025,November,389,5,0
Uttar Pradesh,Hamirpur,2025,November,572,357,5
Himachal Pradesh,Hamirpur,2025,December,229,2,1
Uttar Pradesh,Hamirpur,2025,December,385,197,4
Telangana,Hanumakonda,2025,September,333,34,0
Telangana,Hanumakonda,2025,October,227,30,1
Telangana,Hanumakonda,2025,November,228,29,4
Telangana,Hanumakonda,2025,December,128,16,0
Rajasthan,Hanumangarh,2025,July,456,284,11
Rajasthan,Hanumangarh,2025,September,1368,384,7
Rajasthan,Hanumangarh,2025,October,493,180,0
Rajasthan,Hanumangarh,2025,November,706,222,19
Rajasthan,Hanumangarh,2025,December,605,201,4
West Bengal,Haora,2025,September,788,368,0
West Bengal,Haora,2025,October,463,222,0
West Bengal,Haora,2025,November,511,228,0
West Bengal,Haora,2025,December,181,99,2
Uttar Pradesh,Hapur,2025,May,681,450,11
Uttar Pradesh,Hapur,2025,July,1010,770,11
Uttar Pradesh,Hapur,2025,September,904,553,5
Uttar Pradesh,Hapur,2025,October,554,338,2
Uttar Pradesh,Hapur,2025,November,679,366,7
Uttar Pradesh,Hapur,2025,December,622,294,5
Madhya Pradesh,Harda,2025,September,666,203,2
Madhya Pradesh,Harda,2025,October,240,52,2
Madhya Pradesh,Harda,2025,November,412,76,12
Madhya Pradesh,Harda,2025,December,415,52,2
Madhya Pradesh,Harda *,2025,September,221,63,0
Madhya Pradesh,Harda *,2025,October,79,14,0
Madhya Pradesh,Harda *,2025,November,132,11,0
Madhya Pradesh,Harda *,2025,December,71,19,0
Uttar Pradesh,Hardoi,2025,June,1123,1368,44
Uttar Pradesh,Hardoi,2025,July,4089,4330,75
Uttar Pradesh,Hardoi,2025,September,2670,2696,49
Uttar Pradesh,Hardoi,2025,October,1424,1237,53
Uttar Pradesh,Hardoi,2025,November,1929,1741,63
Uttar Pradesh,Hardoi,2025,December,1356,918,28
Uttarakhand,Hardwar,2025,September,33,14,0
Uttarakhand,Hardwar,2025,October,35,6,0
Uttarakhand,Hardwar,2025,November,36,6,0
Uttarakhand,Hardwar,2025,December,14,2,0
Uttarakhand,Haridwar,2025,March,17,15,28
Uttarakhand,Haridwar,2025,July,565,156,11
Uttarakhand,Haridwar,2025,September,1185,407,8
Uttarakhand,Haridwar,2025,October,967,209,1
Uttarakhand,Haridwar,2025,November,1105,258,2
Uttarakhand,Haridwar,2025,December,849,170,2
Karnataka,Hasan,2025,September,266,12,0
Karnataka,Hasan,2025,October,180,10,0
Karnataka,Hasan,2025,November,261,15,0
Karnataka,Hasan,2025,December,237,12,0
Karnataka,Hassan,2025,September,728,33,0
Karnataka,Hassan,2025,October,462,29,2
Karnataka,Hassan,2025,November,625,53,16
Karnataka,Hassan,2025,December,518,27,1
Uttar Pradesh,Hathras,2025,May,478,319,11
Uttar Pradesh,Hathras,2025,June,174,282,12
Uttar Pradesh,Hathras,2025,September,1017,796,16
Uttar Pradesh,Hathras,2025,October,497,328,10
Uttar Pradesh,Hathras,2025,November,827,503,24
Uttar Pradesh,Hathras,2025,December,822,368,9
Karnataka,Haveri,2025,September,1233,118,22
